agent_id;date;product_id;lang_id;calls_handled;avg_aht;std_pass
10;2020-07-13;1;2;29;754,75;1
6;2020-07-15;2;2;18;432,03;1
10;2020-07-04;1;2;32;1.325,75;0
4;2020-07-23;2;2;13;545,04;1
2;2020-07-20;3;2;6;86,19;0
9;2020-07-07;3;1;39;266,03;1
3;2020-01-17;1;1;12;1.765,72;0
7;2020-07-07;1;1;28;1.728,45;0
2;2020-07-16;2;2;6;598,08;0
4;2020-07-11;2;2;10;75,46;0
9;2020-07-10;3;1;37;180,99;1
2;2020-07-03;1;2;1;639,28;0
6;2020-07-10;3;2;21;57,40;1
2;2020-07-06;1;2;1;407,28;0
4;2020-07-06;3;2;15;456,10;1
6;2020-07-01;3;2;19;367,84;1
6;2020-07-20;1;2;17;1.067,58;1
3;2020-01-12;2;1;13;720,83;1
8;2020-07-04;2;2;27;389,52;1
1;2020-07-11;2;1;7;959,50;0
9;2020-07-14;1;1;35;1.537,68;0
2;2020-07-19;2;2;3;55,92;0
9;2020-07-09;2;1;36;808,17;1
5;2020-07-05;3;1;25;187,39;1
2;2020-07-02;3;2;5;136,86;0
6;2020-07-21;2;2;17;81,36;1
6;2020-07-24;2;2;17;41,36;1
2;2020-07-21;1;2;1;560,28;0
9;2020-07-22;3;1;37;74,01;1
9;2020-07-25;3;1;39;105,03;1
10;2020-07-23;2;2;32;101,02;1
7;2020-07-05;2;1;27;302,21;1
10;2020-07-14;2;2;34;202,02;1
3;2020-01-14;1;1;12;1.208,72;0
3;2020-01-23;1;1;13;1.935,38;0
10;2020-07-16;1;2;31;1.386,75;0
7;2020-07-04;1;1;25;1.371,16;0
6;2020-07-04;3;2;21;185,60;1
9;2020-07-24;2;1;34;513,61;1
1;2020-07-05;2;1;7;907,50;0
4;2020-07-12;3;2;12;87,10;1
9;2020-07-17;1;1;33;1.470,57;0
6;2020-07-03;2;2;20;127,36;1
4;2020-07-15;3;2;12;228,10;1
8;2020-07-23;3;2;26;155,21;1
7;2020-07-03;3;1;31;24,15;1
6;2020-07-16;3;2;19;101,84;1
3;2020-01-13;3;1;18;189,43;1
8;2020-07-16;2;2;24;124,77;1
5;2020-07-14;3;1;23;104,72;1
8;2020-07-12;1;2;24;967,43;1
